VIABILITY_TARGET_HOMING,FEMALE_FERTILITY_TARGET_HOMING,Y_SHREDDER,DENSITY,ISLAND_SIDE_LENGTH,INTERACTION_DISTANCE_SIGMA,AVG_DISPERSAL,MONTHLY_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLIER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_EFFICIENCY,RESISTANCE_RATE,R1_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,Composite Value,Composite Value SE
FALSE,TRUE,FALSE,640.1930004,2.551067352,35.3928107,204.5815211,0.821621206,5.206580877,0.246368051,3.169043779,0.196012742,0.952981025,0.750150174,0,0,4214.685,0.9117681,0,1251.55,2219.75,0,0,-0.296938255,0.012004278
FALSE,TRUE,FALSE,930.5,2.438,22.465,173.6875,0.711625,3.959,0.07475,4.058,0.341975,0.83425,0.75025,0,0,5549.11,0.22776495,0,134.15,736.35,0.6,257.8333333,0.26636602,0.077016926
FALSE,TRUE,FALSE,1397.5,4.618,53.605,103.4875,0.855375,4.967,0.16375,3.158,0.430665,0.95425,0.75025,0.07605,0.01927,29784.39,0,0.96988145,29149.45,29676.3,0,0,-0.978685356,0.000840571
FALSE,TRUE,FALSE,1064.9865,3.765654,24.265135,489.6299125,0.700831875,3.883409,0.41300975,4.390714,0.089807035,0.87839775,0.75026175,0.01933405,0.01182145,15102.375,0,0.959483,4762.7,15085.3,0,0,-0.315390928,0.018466736
FALSE,TRUE,FALSE,1178.5,3.034,90.505,557.8375,0.718375,7.007,0.45575,4.626,0.099915,0.86525,0.75075,0.08465,0.01337,10428.045,0,0.89183035,7560.45,9301.1,0,0,-0.725250692,0.004175494
FALSE,TRUE,FALSE,1237.8075,3.824262,38.444905,490.0462375,0.733333875,3.269285,0.20688775,3.056442,0.482492055,0.97701325,0.75080525,0.01762795,0.01876585,18076.315,0,0.9977081,7161.45,18066.05,0,0,-0.39626635,0.020867739
FALSE,TRUE,FALSE,945.5034435,3.836491823,87.50410855,971.8139887,0.701338463,4.464242339,0.321674615,1.165158048,0.258860369,0.760952115,0.750853866,0,0,13772.215,0.00470542,0,1.3,667.05,0.95,208.1578947,0.554405289,0.042025778
FALSE,TRUE,FALSE,1476.737499,2.124726772,52.03529805,940.528439,0.739681364,6.141303539,0.376175791,1.860433102,0.371354561,0.953629524,0.750864089,0,0,6575.415,0.9154419,0,1165.45,2332.15,0,0,-0.177275795,0.00926488
FALSE,TRUE,FALSE,680.7920039,3.643881321,40.16634345,115.0690129,0.818360728,4.753931463,0.168806463,1.770421743,0.342419758,0.833552897,0.751090705,0,0,9079.105,0.7807353,0,2445,4159.9,0,0,-0.269375606,0.017218827
FALSE,TRUE,FALSE,651.7599076,2.880841732,86.48769081,857.9307824,0.756534331,2.937592983,0.047414493,4.163473845,0.234210812,0.92887041,0.751190215,0,0,5320.18,0,0,0,0,1,110.4,0.7792,0.006725286
FALSE,TRUE,FALSE,1046.842217,4.156662941,93.97624135,306.4088248,0.805691858,6.479066253,0.250906199,2.67058444,0.249606083,0.896903783,0.751261026,0,0,17763.485,0.90639965,0,11150.5,12596.65,0,0,-0.62772025,0.00421597
FALSE,TRUE,FALSE,736.6039157,2.592149854,21.67280599,352.9901184,0.804052804,2.139950044,0.33474043,3.268117189,0.041453107,0.772154957,0.751309454,0,0,4920.51,0,0,4769.85,4919.5,0,0,-0.969396319,0.001766738
