VIABILITY_TARGET_HOMING,FEMALE_FERTILITY_TARGET_HOMING,Y_SHREDDER,DENSITY,ISLAND_SIDE_LENGTH,INTERACTION_DISTANCE_SIGMA,AVG_DISPERSAL,MONTHLY_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLIER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_EFFICIENCY,RESISTANCE_RATE,R1_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,Composite Value,Composite Value SE
FALSE,TRUE,FALSE,1330.35,4.114,71.08,332.6125,0.759875,3.671,0.25475,3.682,0.276315,0.92825,0.59725,0,0,22371.62,0.80108495,0,12445.25,13806.55,0,0,-0.556297965,0.003020756
FALSE,TRUE,FALSE,811.95,1.182,65.08,981.9625,0.846625,2.639,0.09675,3.454,0.180275,0.85825,0.88075,0,0,1095.645,0,0,0,0,1,184.65,0.6307,0.014811997
FALSE,TRUE,FALSE,843.45,1.786,71.24,719.6875,0.771375,7.553,0.31625,2.962,0.137645,0.52075,0.50325,0,0,2594.445,0,0,1847.2,2102.55,0,0,-0.711986442,0.002307683
FALSE,TRUE,FALSE,1085.55,2.91,53.16,500.3125,0.792375,7.343,0.06025,4.758,0.120005,0.99325,0.51125,0,0,9264.585,0.7660339,0,8383.65,14561.65,0,0,-0.904948922,0.003260534
FALSE,TRUE,FALSE,1288.95,2.466,54.84,84.9625,0.923875,7.397,0.00175,1.678,0.163125,0.92325,0.94175,0,0,8238.575,2.12E-05,0,7976.55,8253.25,0,0,-0.968225915,0.001834805
FALSE,TRUE,FALSE,855.15,1.346,24.68,781.1125,0.894375,4.019,0.06775,4.838,0.491915,0.91325,0.89125,0,0,1675.63,0,0,0,0,1,158.15,0.6837,0.007476665
FALSE,TRUE,FALSE,1443.75,1.842,84.68,864.9625,0.923375,4.211,0.11925,2.502,0.066595,0.62275,0.55425,0,0,4787.95,0,0,4639.25,4784.55,0,0,-0.969022253,0.00331986
FALSE,TRUE,FALSE,1352.85,3.786,43.56,816.2125,0.904125,2.333,0.19225,3.502,0.267985,0.77025,0.64875,0,0,19420.05,0,0,18947.95,19363.35,0,0,-0.975695554,0.000953568
FALSE,TRUE,FALSE,640.95,4.262,23.48,599.7625,0.752125,3.095,0.43925,1.234,0.288565,0.90125,0.53625,0,0,11693.065,0.69118805,0,4987.4,6178.6,0,0,-0.42656591,0.008472841
FALSE,TRUE,FALSE,915.45,1.902,48.52,430.1125,0.734125,4.205,0.31075,2.298,0.363045,0.86025,0.71725,0,0,3255.005,0,0,0,0,1,112.5,0.775,0.014811446
FALSE,TRUE,FALSE,1140.45,2.182,74.68,36.2125,0.899125,5.123,0.49075,1.602,0.121475,0.77625,0.51275,0,0,5178.56,0,0,4727.1,5198.05,0,0,-0.912839568,0.003769599
FALSE,TRUE,FALSE,861.45,1.994,45.32,931.2625,0.813375,6.257,0.21275,3.062,0.033765,0.85525,0.68975,0,0,3420.34,0.84401615,0,2930.8,3420.15,0,0,-0.856998848,0.006015479
FALSE,TRUE,FALSE,901.95,1.602,79,581.2375,0.934375,6.149,0.23425,1.25,0.245445,0.93625,0.53375,0,0,2307.555,0.7238032,0,1916.35,3205.3,0,0,-0.830589738,0.003378658
FALSE,TRUE,FALSE,790.35,1.866,40.76,172.7125,0.917625,7.625,0.33775,2.398,0.127845,0.83675,0.93375,0,0,2841.43,0,0,0,0,1,130.8,0.7384,0.006298872
FALSE,TRUE,FALSE,1313.25,3.482,43.48,666.0625,0.946625,4.781,0.20525,3.014,0.457615,0.55175,0.79925,0,0,16100.125,0,0,15599.25,15998.65,0,0,-0.968896503,0.001628811
FALSE,TRUE,FALSE,1326.75,4.25,56.76,846.4375,0.794375,2.135,0.44175,2.514,0.391465,0.52375,0.60275,0,0,23832.52,0,0,22088.65,23828.1,0,0,-0.926833697,0.001619898
FALSE,TRUE,FALSE,1036.95,4.29,99.96,44.0125,0.879125,6.617,0.38875,4.39,0.266515,0.66975,0.91525,0,0,18604.57,0,0,16029.1,18078.3,0,0,-0.861585139,0.017358643
FALSE,TRUE,FALSE,1119.75,1.822,87.4,411.5875,0.888875,3.617,0.04625,4.546,0.108245,0.59025,0.95475,0,0,3635.39,0,0,3568.05,3631.8,0,0,-0.981479415,0.002181374
FALSE,TRUE,FALSE,719.25,3.762,93.32,196.1125,0.759125,4.655,0.47325,3.11,0.228295,0.80975,0.97175,0,0,9999.945,0,0,0,0,1,57.8,0.8844,0.002553017
FALSE,TRUE,FALSE,1415.85,3.866,86.2,31.3375,0.801875,7.715,0.39325,1.966,0.082765,0.71275,0.90575,0,0,20394.09,0,0,15915.5,18993.7,0,0,-0.780473221,0.021738046
FALSE,TRUE,FALSE,1299.75,2.186,58.68,989.7625,0.850625,6.503,0.35725,2.89,0.270435,0.66025,0.56725,0,0,6065.205,0,0,4387.05,5318.85,0,0,-0.723325188,0.00135738
FALSE,TRUE,FALSE,870.45,3.434,73.48,697.2625,0.740625,4.163,0.25825,3.302,0.016125,0.60775,0.85325,0,0,10167.575,0,0,10005.4,10180.3,0,0,-0.984057319,0.001335403
FALSE,TRUE,FALSE,1373.55,4.522,54.2,279.9625,0.920625,6.563,0.31925,4.466,0.199385,0.76225,0.50875,0,0,28683.445,0,0,23606.4,28587.65,0,0,-0.823040532,0.013616405
FALSE,TRUE,FALSE,687.75,2.374,73.72,361.8625,0.762375,3.215,0.15225,4.906,0.261125,0.74225,0.64775,0,0,3788.62,0,0,3638.5,3797.75,0,0,-0.960394205,0.001757641
FALSE,TRUE,FALSE,1168.35,3.598,91.72,993.6625,0.859625,2.663,0.08725,1.274,0.439975,0.53975,0.95975,0,0,14958.96,0,0,14653.65,14990.3,0,0,-0.979594416,0.001146832
FALSE,TRUE,FALSE,783.15,2.974,75.96,835.7125,0.899625,6.827,0.48625,3.866,0.198405,0.82225,0.57425,0,0,6721.405,0,0,4165.7,5772,0,0,-0.619788096,0.001477948
FALSE,TRUE,FALSE,1220.55,3.194,21.4,255.5875,0.886125,4.559,0.29625,4.066,0.314535,0.79475,0.82875,0,0,12890.65,0.711188345,0,1877.3,5263.35,0.1,319.5,-0.109574447,0.040593521
