VIABILITY_TARGET_HOMING,FEMALE_FERTILITY_TARGET_HOMING,Y_SHREDDER,DENSITY,ISLAND_SIDE_LENGTH,INTERACTION_DISTANCE_SIGMA,AVG_DISPERSAL,MONTHLY_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLIER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_EFFICIENCY,RESISTANCE_RATE,R1_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,Composite Value,Composite Value SE
TRUE,FALSE,FALSE,1019.3855,1.896002,62.908615,325.1932375,0.849392625,5.022269,0.24630525,4.650242,0.104865225,0.75141625,0.75015575,0.05460335,0.01502641,3593.335,0,0.004690754,3311.55,3516.7,0,0,-0.921628495,0.004851549
TRUE,FALSE,FALSE,1340.5,2.102,86.725,312.1375,0.705125,4.085,0.29525,3.622,0.342465,0.92725,0.75075,0.07605,0.01287,5752.635,0,0.86466145,5538.15,5767.3,0,0,-0.962723062,0.001744347
TRUE,FALSE,FALSE,1380.3485,2.39573,76.876885,679.6993375,0.922758625,7.575527,0.24640425,2.87727,0.447510955,0.90201125,0.75115275,0.09075255,0.00769507,8275.435,0.001453178,0.3829494,6411.45,8527.4,0,0,-0.774779459,0.001435334
TRUE,FALSE,FALSE,748.2572943,1.989478052,95.32612741,946.5276018,0.709076457,7.971216321,0.123923376,3.847620964,0.434461409,0.750359297,0.75142175,0,0,2881.86,0,0,2169.6,2704.25,0,0,-0.752906691,0.002752888
TRUE,FALSE,FALSE,781.6435099,4.630478621,97.6732105,637.083602,0.707816455,3.412110358,0.057139363,3.549723148,0.038574856,0.811224103,0.751581818,0,0,16622.48,0.037235918,0,16048.35,16346.6,0,0,-0.965469319,0.00137867
TRUE,FALSE,FALSE,1350.439012,4.35188961,76.80047989,640.8276305,0.877152932,7.10319984,0.335571557,3.230913162,0.178804564,0.973571748,0.751808465,0,0,25960.72,0.41751435,0,21361.6,37208.8,0,0,-0.823358263,0.021386419
TRUE,FALSE,FALSE,616.3705,4.094502,26.505415,338.3196625,0.771140375,2.686841,0.05653675,3.967958,0.352602855,0.90974925,0.75197675,0.02084235,0.01697155,10471.985,0,0.6933614,9513.1,10494.35,0,0,-0.908442715,0.001525259
TRUE,FALSE,FALSE,933.6245,2.630558,91.903285,260.4239875,0.738697875,6.826187,0.01845675,1.281702,0.225407185,0.76050225,0.75221825,0.07039195,0.00676569,6351.13,0,0.005925413,5728.55,6382.45,0,0,-0.901979681,0.004014877
TRUE,FALSE,FALSE,1430.3965,4.65877,50.243185,136.9275625,0.831915625,5.838281,0.28102625,3.57425,0.278374225,0.98116025,0.75236975,0.08553505,0.00646203,30908.545,0.000176499,0.96573375,28681.45,30868.4,0,0,-0.927954286,0.00381844
TRUE,FALSE,FALSE,696.3365,3.571226,94.186495,335.2513375,0.760368875,5.673287,0.47024625,4.849014,0.462493685,0.87353375,0.75247225,0.08296205,0.00689431,8730.045,0,0.73486495,8192.8,8765.95,0,0,-0.93847305,0.002537726
TRUE,FALSE,FALSE,1232.8235,1.969886,35.216965,532.4099875,0.845280375,7.528709,0.40937525,3.402114,0.163750485,0.76737625,0.75254275,0.01404245,0.01093723,4839.75,0,0.002097932,3257.3,4118.65,0,0,-0.673066763,0.00199342
TRUE,FALSE,FALSE,1373.5,1.262,84.385,652.4125,0.767875,2.981,0.12175,4.278,0.118535,0.83875,0.75375,0.01395,0.01959,2086.005,0.042648234,0.13553801,1918.65,2045.85,0,0,-0.919818279,0.002226036
TRUE,FALSE,FALSE,943.5,4.982,32.185,767.4625,0.786125,3.833,0.18825,2.25,0.150875,0.89925,0.75375,0,0,23609.345,0.346503,0,23179.05,23737.95,0,0,-0.981780449,0.001093024
TRUE,FALSE,FALSE,1014.5,4.918,50.005,756.7375,0.855375,4.745,0.13025,4.766,0.479665,0.84425,0.75425,0.03675,0.00329,24722.23,1.80E-05,0.010110945,24030.35,24740.85,0,0,-0.972018386,0.000936571
TRUE,FALSE,FALSE,735.8597666,2.212757468,61.21381998,264.3352427,0.766884935,7.500384212,0.442150116,3.958221197,0.036083439,0.88589251,0.754347056,0,0,3434.8,0.37740345,0,2403.85,4289.9,0,0,-0.699915691,0.006458948
