VIABILITY_TARGET_HOMING,FEMALE_FERTILITY_TARGET_HOMING,Y_SHREDDER,DENSITY,ISLAND_SIDE_LENGTH,INTERACTION_DISTANCE_SIGMA,AVG_DISPERSAL,MONTHLY_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLIER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_EFFICIENCY,RESISTANCE_RATE,R1_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,Composite Value,Composite Value SE
TRUE,FALSE,FALSE,1492.35,2.682,28.76,737.2375,0.731125,7.451,0.07725,2.53,0.482115,0.85775,0.79925,0,0,10872.64,0.3162128,0,10717.9,12606.2,0,0,-0.985780437,0.004785527
TRUE,FALSE,FALSE,1189.05,4.778,62.28,680.6875,0.906125,3.473,0.08875,4.77,0.362555,0.78275,0.52725,0,0,27226.465,0,0,26826.25,27201.45,0,0,-0.98530143,0.000642616
TRUE,FALSE,FALSE,800.25,2.89,63,616.3375,0.905125,3.347,0.39925,1.102,0.200855,0.88825,0.58775,0,0,6626.27,0.2162776,0,6383.9,6614.25,0,0,-0.963431945,0.001347556
TRUE,FALSE,FALSE,666.15,2.818,98.36,243.8875,0.763125,6.551,0.48225,3.39,0.191055,0.85025,0.53875,0,0,5061.125,0.1899942,0,4466.45,5160.15,0,0,-0.882476248,0.01011859
TRUE,FALSE,FALSE,1109.85,3.63,66.2,983.9125,0.887125,7.511,0.33475,3.914,0.257695,0.87025,0.85325,0,0,15249.4,0.3946923,0,11123.95,20266.45,0,0,-0.729654142,0.00399526
TRUE,FALSE,FALSE,1238.55,2.778,95.88,914.6875,0.722125,3.185,0.23225,1.286,0.225845,0.97175,0.82875,0,0,9366.905,0.443079,0,2911.05,3702.7,0,0,-0.310797186,0.005371572
TRUE,FALSE,FALSE,1086.45,1.886,45.72,88.8625,0.894625,5.921,0.01025,3.306,0.214085,0.53225,0.79175,0,0,4025.845,0,0,3973.6,4017.9,0,0,-0.987047745,0.002774124
TRUE,FALSE,FALSE,1250.25,2.242,45.96,120.0625,0.799125,4.559,0.08325,2.294,0.418415,0.59425,0.87575,0,0,6223.625,0,0,6066.75,6233.3,0,0,-0.974821138,0.00199533
TRUE,FALSE,FALSE,1342.05,1.77,73.48,835.7125,0.927375,5.741,0.12825,2.89,0.119515,0.57725,0.89175,0,0,4160.155,0,0,3897.6,4111.5,0,0,-0.936920953,0.003043899
TRUE,FALSE,FALSE,1271.85,2.938,66.6,129.8125,0.860875,3.761,0.28025,1.074,0.215065,0.59125,0.97175,0,0,10812.84,0,0,10572.3,10775.85,0,0,-0.97776377,0.001364261
TRUE,FALSE,FALSE,1168.35,2.414,24.04,629.0125,0.784625,2.879,0.28675,1.434,0.159205,0.68675,0.87475,0,0,6813.965,0,0,6583.2,6801.75,0,0,-0.966148985,0.001745823
TRUE,FALSE,FALSE,1444.65,3.258,68.04,713.8375,0.734625,3.719,0.07925,3.97,0.130295,0.84475,0.90725,0,0,15196.395,0.38346995,0,8681.25,9879.85,0,0,-0.571263811,0.00451784
TRUE,FALSE,FALSE,1441.95,3.734,66.76,988.7875,0.941375,2.831,0.17375,4.334,0.034255,0.63275,0.87975,0,0,20027.135,0,0,19814.15,20003.65,0,0,-0.989370265,0.000869851
TRUE,FALSE,FALSE,1428.45,1.594,35.8,261.4375,0.888875,2.999,0.10125,1.354,0.042095,0.67875,0.54975,0,0,3615.505,0,0,3552.05,3637.55,0,0,-0.98248556,0.00226078
TRUE,FALSE,FALSE,770.55,3.262,49.96,394.0375,0.708875,3.071,0.15925,2.83,0.287095,0.94275,0.63475,0,0,8118.93,0.3388325,0,6963.5,7263.65,0,0,-0.857701395,0.001268383
TRUE,FALSE,FALSE,955.05,2.482,75.4,150.2875,0.797875,2.165,0.26975,4.534,0.195955,0.55525,0.81125,0,0,5720.375,0,0,5542.95,5731.65,0,0,-0.968995975,0.001530426
TRUE,FALSE,FALSE,707.55,2.586,32.04,197.0875,0.789375,2.783,0.02525,2.194,0.419395,0.70275,0.70225,0,0,4735.82,0,0,4501.25,4736.85,0,0,-0.950496482,0.002460986
TRUE,FALSE,FALSE,916.35,1.102,82.84,265.3375,0.858625,2.915,0.06925,1.702,0.106285,0.79425,0.56225,0,0,1054.195,0,0,1008.1,1055,0,0,-0.956373037,0.003848894
TRUE,FALSE,FALSE,788.55,4.922,77.88,89.8375,0.913125,2.645,0.45675,3.566,0.175375,0.93175,0.94425,0,0,18759.26,0.45824185,0,4476.25,5478,0,0,-0.238607535,0.005020537
TRUE,FALSE,FALSE,1070.25,1.574,82.6,691.4125,0.827625,2.927,0.09175,1.778,0.435565,0.66175,0.59575,0,0,2561.01,0,0,2459.6,2545.15,0,0,-0.960418586,0.002187243
TRUE,FALSE,FALSE,1306.95,3.61,47.56,622.1875,0.759375,2.861,0.37525,2.966,0.211635,0.64175,0.69825,0,0,16953.985,0,0,16356.4,16945.2,0,0,-0.964752673,0.000914897
TRUE,FALSE,FALSE,1351.05,2.926,49.48,204.8875,0.855625,3.131,0.25125,1.67,0.245445,0.75475,0.92775,0,0,11462.7,0,0,11069.15,11494.05,0,0,-0.965672938,0.000910324
TRUE,FALSE,FALSE,1387.95,4.026,37.72,852.2875,0.864125,7.853,0.30875,1.25,0.178315,0.72775,0.89375,0,0,23619.285,0,0,17732.8,21584.05,0,0,-0.750883491,0.002335711
TRUE,FALSE,FALSE,1181.85,4.902,93.96,168.8125,0.873625,3.665,0.36725,1.894,0.128825,0.50725,0.98625,0,0,28137.29,0,0,27788.7,28154.4,0,0,-0.987616703,0.0014744
TRUE,FALSE,FALSE,1225.05,2.59,21.16,430.1125,0.891625,7.259,0.13325,2.854,0.192035,0.76825,0.77825,0,0,8937.315,0,0,8687.15,8858.7,0,0,-0.972037268,0.001868449
TRUE,FALSE,FALSE,1499.55,2.214,89.16,239.0125,0.918625,4.259,0.26475,3.238,0.132255,0.84725,0.69775,0,0,7168.355,0.086922635,0,6715.25,7134.15,0,0,-0.936821096,0.002827365
TRUE,FALSE,FALSE,1471.65,4.57,60.92,743.0875,0.905875,4.811,0.06175,1.45,0.090115,0.74125,0.86075,0,0,30966.7,0,0,30455.8,30999.05,0,0,-0.983511693,0.001143368
TRUE,FALSE,FALSE,643.65,1.362,30.52,413.5375,0.767375,2.735,0.10325,3.286,0.170965,0.62375,0.54725,0,0,1179.685,0,0,1139.6,1175.7,0,0,-0.966117641,0.003945449
TRUE,FALSE,FALSE,847.95,2.726,55.24,113.2375,0.721125,2.153,0.28325,3.502,0.233685,0.68925,0.56825,0,0,6066.185,0,0,5602.3,6060.65,0,0,-0.923597604,0.003175079
TRUE,FALSE,FALSE,1049.55,1.542,43.48,888.3625,0.875875,5.009,0.34325,1.61,0.267005,0.90625,0.84075,0,0,2461.045,0.4163026,0,2427.65,2906.75,0,0,-0.986491951,0.006136693
TRUE,FALSE,FALSE,1154.85,1.578,62.68,63.5125,0.758625,2.231,0.44575,4.214,0.393425,0.55275,0.96725,0,0,2718.665,0,0,2323.55,2704.15,0,0,-0.854724715,0.004205097
TRUE,FALSE,FALSE,920.85,2.806,30.2,984.8875,0.907875,4.097,0.30075,3.414,0.204285,0.83375,0.78225,0,0,7365.87,0.189699,0,7044.8,7335.9,0,0,-0.956418782,0.001451017
TRUE,FALSE,FALSE,925.35,4.582,27.96,951.7375,0.711875,7.127,0.18875,2.942,0.149405,0.99925,0.83275,0,0,19768.675,0.4539313,0,19906.9,26922.95,0,0,-1.006997704,0.003439334
TRUE,FALSE,FALSE,1498.65,1.298,36.12,965.3875,0.903125,2.585,0.12375,1.206,0.230745,0.85975,0.76375,0,0,2498.56,6.09E-05,0,2392.6,2499.25,0,0,-0.957663401,0.002633933
TRUE,FALSE,FALSE,1274.55,1.618,99,815.2375,0.786875,6.005,0.20375,2.634,0.088155,0.56725,0.84425,0,0,3189.975,0,0,2660.3,2875.95,0,0,-0.833933432,0.009120269
TRUE,FALSE,FALSE,1153.05,4.49,71.56,375.5125,0.711375,6.905,0.03075,4.298,0.498285,0.73525,0.65075,0,0,23152.12,0,0,21154.4,23422.4,0,0,-0.913747565,0.005452598
