VIABILITY_TARGET_HOMING,FEMALE_FERTILITY_TARGET_HOMING,Y_SHREDDER,DENSITY,ISLAND_SIDE_LENGTH,INTERACTION_DISTANCE_SIGMA,AVG_DISPERSAL,MONTHLY_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLIER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_EFFICIENCY,RESISTANCE_RATE,R1_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,Composite Value,Composite Value SE
FALSE,FALSE,TRUE,1378.5155,3.09251,28.238995,774.4371625,0.735264375,7.889645,0.41736825,2.30577,0.159415945,0.78456475,0.75010425,0,0,12958.315,0,0,8790.95,12804.9,0,0,-0.67850743,0.002812167
FALSE,FALSE,TRUE,1017.8345,2.94833,62.997175,438.6071875,0.848055875,7.484213,0.31208225,4.751562,0.484442255,0.99945675,0.75011725,0,0,8992.655,0.93657175,0,4573.4,6131.55,0,0,-0.508617205,0.001499801
FALSE,FALSE,TRUE,1249.630511,3.293394089,68.49743366,859.0514049,0.922531766,6.104139924,0.341107607,4.491733789,0.376681027,0.99289602,0.750668734,0,0,13667.095,0.93799295,0,6831.6,9582,0,0,-0.49987141,0.00098384
FALSE,FALSE,TRUE,1422.1365,1.903894,63.575605,164.3201875,0.937545375,6.502037,0.37476075,1.84661,0.150643965,0.93325275,0.75137775,0,0,5164.31,0.004643416,0,3700.25,4184.4,0,0,-0.716579417,0.003437001
FALSE,FALSE,TRUE,905.7645,1.16877,22.940785,502.2132625,0.773282875,6.870251,0.26956125,4.531986,0.408086535,0.78796525,0.75148625,0,0,1275.365,0,0,1131.05,1263.3,0,0,-0.886888757,0.006183793
FALSE,FALSE,TRUE,645.0705,1.726026,45.223705,326.1721375,0.786471125,7.293329,0.46881975,1.004426,0.057937925,0.95276075,0.75154225,0,0,1858.945,0.9380672,0,782.6,1286.55,0,0,-0.421046044,0.001753115
FALSE,FALSE,TRUE,929.4375,4.84623,67.617145,818.0235625,0.918069125,4.308467,0.10963875,1.71313,0.230845695,0.82694975,0.75166825,0,0,21970.175,0,0,21470.9,21959.5,0,0,-0.977281994,0.001185298
FALSE,FALSE,TRUE,1429.367363,3.252933979,61.60057843,285.1528548,0.823485588,4.252526462,0.179577217,4.37212038,0.050239648,0.979823649,0.751676381,0,0,15003.185,0.9380359,0,8766.95,10560.95,0,0,-0.58434102,0.000440887
FALSE,FALSE,TRUE,779.2385,4.93255,40.369195,820.0866625,0.830404375,4.007621,0.32686175,4.443574,0.195757285,0.99958775,0.75196075,0,0,19040.83,0.93789425,0,11238.6,15634.3,0,0,-0.590239203,0.000519816
FALSE,FALSE,TRUE,612.7965376,4.566176176,31.10455394,818.8598618,0.711953212,5.628779173,0.476673275,3.394741058,0.418405434,0.932089567,0.752062708,0,0,12843.155,0.93833805,0,7149.85,9970.75,0,0,-0.556713522,0.001524678
FALSE,FALSE,TRUE,961.45,1.573,96.5755,345.23875,0.8155375,5.8385,0.436525,1.2118,0.3039265,0.926775,0.752075,0,0,2223.335,0.93741675,0,903.85,1310.35,0,0,-0.406621477,0.001971673
FALSE,FALSE,TRUE,754.75,2.9346,38.1655,261.77875,0.7966125,3.9527,0.437725,3.5102,0.2898635,0.984925,0.752525,0,0,6443.83,0.93823225,0,3949.6,4762.25,0,0,-0.612929607,0.001149229
FALSE,FALSE,TRUE,1152.004838,3.951339245,56.55282736,91.69101994,0.911986989,6.237091303,0.339323938,2.45418036,0.474077444,0.781191885,0.752594441,0,0,18042.875,0,0,14594.6,17557.1,0,0,-0.808887455,0.002968797
FALSE,FALSE,TRUE,1103.0565,2.600482,36.675415,459.1192375,0.878617375,3.539423,0.09214275,3.981022,0.376990645,0.90932775,0.75291575,0,0,7560.575,0,0,7240.05,7557,0,0,-0.9576253,0.00151376
FALSE,FALSE,TRUE,1170.75,3.6842,63.3115,745.37875,0.8132125,5.2295,0.376975,1.8066,0.1315935,0.969475,0.752975,0,0,15794.145,0.93859335,0,7585.65,15729.4,0,0,-0.480288252,0.000654964
FALSE,FALSE,TRUE,957.7225,3.176866,76.122955,486.0779875,0.704021875,7.163573,0.15975325,2.308478,0.452485925,0.98472475,0.75305475,0,0,9487.005,0.93807015,0,4899.85,8876.95,0,0,-0.516519077,0.001840151
FALSE,FALSE,TRUE,649.55,1.4222,32.9635,549.40375,0.7949875,7.4615,0.322475,3.3382,0.2095525,0.952875,0.753175,0,0,1332.765,0.9375705,0,698.3,1254.45,0,0,-0.524013347,0.002567778
FALSE,FALSE,TRUE,1482.4945,1.539158,87.522265,628.2554125,0.799757125,7.696667,0.11369675,4.370582,0.194708685,0.96448075,0.75321425,0,0,3495.025,0.938076,0,1811.6,2395.3,0,0,-0.518346411,0.001596913
FALSE,FALSE,TRUE,1178.160429,3.901554346,69.35945272,594.7862789,0.818883006,6.681168914,0.399093419,1.730570793,0.200015783,0.791343629,0.753346473,0,0,17170.155,0,0,11576.1,16441.4,0,0,-0.674269357,0.002163996
FALSE,FALSE,TRUE,605.2877381,1.34863916,46.28574699,552.1317258,0.82406484,4.937847495,0.451661319,4.328347206,0.036844151,0.916594565,0.753359139,0,0,1075.35,0.37241975,0,751.9,920.8,0,0,-0.699502716,0.050591614
FALSE,FALSE,TRUE,671.2072492,2.336619139,76.84843242,927.3551539,0.877252263,6.81779778,0.343674064,1.503305495,0.424809961,0.934265167,0.753456473,0,0,3667.545,0.712627165,0,1869.95,2345.5,0,0,-0.510212469,0.025053164
FALSE,FALSE,TRUE,822.24527,1.817438006,77.94079423,508.5625373,0.801499468,7.76702404,0.491936356,1.04652603,0.146290722,0.913991719,0.753494859,0,0,2477.71,0.051489805,0,1356.55,1786.9,0,0,-0.54764784,0.007651222
FALSE,FALSE,TRUE,1078.768492,1.672046483,99.15008843,261.2002835,0.938161519,3.006121814,0.396062344,1.512507379,0.219532599,0.967609644,0.753609359,0,0,2894.2,0.93727765,0,1557.5,2199.95,0,0,-0.538160482,0.001756755
