Time,Population size
0,4000
1,4302
2,4272
3,4277
4,4302
5,4274
6,4265
7,4260
8,4275
9,4264
10,4242
11,4364
12,4309
13,4313
14,4349
15,4253
16,4214
17,4279
18,4263
19,4247
20,4222
21,4321
22,4219
23,4312
24,4193
25,4271
26,4264
27,4268
28,4234
29,4209
30,4372
31,4380
32,4355
33,4280
34,4275
35,4338
36,4261
37,4248
38,4232
39,4270
40,4277
41,4142
42,4134
43,4141
44,4176
45,4222
46,4257
47,4222
48,4203
49,4170
50,4232
51,4241
52,4217
53,4190
54,4155
55,4152
56,4180
57,4230
58,4165
59,4271
60,4250
61,4327
62,4328
63,4305
64,4194
65,4256
66,4117
67,4215
68,4245
69,4167
70,4240
71,4212
72,4223
73,4196
74,4255
75,4243
76,4242
77,4272
78,4296
79,4304
80,4327
81,4328
82,4317
83,4255
84,4194
85,4239
86,4243
87,4194
88,4250
89,4307
90,4284
91,4314
92,4258
93,4292
94,4246
95,4331
96,4267
97,4359
98,4338
99,4258
100,4267
101,4315
102,4244
103,4279
104,4355
105,4341
106,4236
107,4223
108,4297
109,4178
110,4269
111,4201
112,4175
113,4235
114,4234
115,4295
116,4232
117,4121
118,4266
119,4344
120,4191
121,4246
122,4291
123,4282
124,4343
125,4254
126,4269
127,4204
128,4163
129,4220
130,4312
131,4308
132,4274
133,4206
134,4361
135,4254
136,4318
137,4298
138,4332
139,4266
140,4245
141,4099
142,4132
143,4191
144,4228
145,4266
146,4192
147,4137
148,4278
149,4239
150,4223
151,4229
152,4196
153,4211
154,4152
155,4143
156,4180
157,4193
158,4225
159,4321
160,4278
161,4321
162,4319
163,4282
164,4271
165,4210
166,4269
167,4313
168,4286
169,4235
170,4306
171,4214
172,4340
173,4313
174,4198
175,4266
176,4348
177,4248
178,4380
179,4317
180,4212
181,4318
182,4307
183,4332
184,4240
185,4189
186,4189
187,4216
188,4268
189,4230
190,4277
191,4281
192,4235
193,4226
194,4302
195,4254
196,4237
197,4286
198,4302
199,4347
200,4254
201,4248
202,4279
203,4251
204,4324
205,4290
206,4165
207,4218
208,4325
209,4176
210,4308
211,4237
212,4256
213,4237
214,4234
215,4358
216,4235
217,4334
218,4246
219,4349
220,4297
221,4283
222,4268
223,4241
224,4266
225,4255
226,4279
227,4248
228,4307
229,4346
230,4178
231,4300
232,4248
233,4303
234,4261
235,4258
236,4267
237,4220
238,4267
239,4273
240,4216
241,4205
242,4268
243,4193
244,4247
245,4137
246,4172
247,4171
248,4206
249,4192
250,4208
251,4225
252,4211
253,4276
254,4256
255,4289
256,4278
257,4282
258,4251
259,4278
260,4291
261,4379
262,4297
263,4354
264,4298
265,4351
266,4331
267,4297
268,4284
269,4308
270,4309
271,4194
272,4210
273,4247
274,4241
275,4280
276,4268
277,4279
278,4214
279,4153
280,4200
281,4232
282,4227
283,4220
284,4247
285,4282
286,4313
287,4274
288,4218
289,4293
290,4217
291,4244
292,4132
293,4270
294,4285
295,4295
296,4239
297,4263
298,4263
299,4230
300,4304
301,4310
302,4374
303,4234
304,4333
305,4146
306,4327
307,4195
308,4210
309,4268
310,4183
311,4267
312,4255
313,4322
314,4236
315,4340
316,4334
317,4300
318,4302
319,4131
320,4201
321,4163
322,4242
323,4288
324,4266
325,4191
326,4287
327,4356
328,4327
329,4230
330,4224
331,4203
332,4241
333,4246
334,4262
335,4263
336,4233
337,4296
338,4274
339,4354
340,4257
341,4185
342,4235
343,4261
344,4255
345,4215
346,4254
347,4220
348,4259
349,4304
350,4259
351,4263
352,4261
353,4195
354,4227
355,4241
356,4254
357,4270
358,4249
359,4300
360,4245
361,4302
362,4297
363,4249
364,4239
365,4202
366,4311
367,4151
368,4281
369,4222
370,4350
371,4210
372,4258
373,4297
374,4330
375,4296
376,4330
377,4373
378,4370
379,4303
380,4312
381,4286
382,4199
383,4237
384,4248
385,4221
386,4260
387,4159
388,4182
389,4249
390,4316
391,4270
392,4250
393,4333
394,4279
395,4263
396,4222
397,4262
398,4222
399,4290
400,4196
401,4273
402,4308
403,4220
404,4355
405,4201
406,4223
407,4217
408,4254
409,4208
410,4265
411,4246
412,4249
413,4153
414,4271
415,4249
416,4260
417,4130
418,4173
419,4249
420,4191
421,4207
422,4167
423,4249
424,4213
425,4354
426,4254
427,4287
428,4288
429,4304
430,4301
431,4326
432,4240
433,4262
434,4294
435,4290
436,4276
437,4360
438,4307
439,4249
440,4229
441,4162
442,4243
443,4260
444,4300
445,4257
446,4241
447,4271
448,4155
449,4262
450,4300
451,4260
452,4323
453,4226
454,4310
455,4268
456,4330
457,4310
458,4315
459,4310
460,4303
461,4281
462,4271
463,4279
464,4315
465,4304
466,4266
467,4175
468,4336
469,4238
470,4261
471,4199
472,4102
473,4292
474,4297
475,4230
476,4235
477,4293
478,4289
479,4233
480,4232
481,4327
482,4147
483,4210
484,4198
485,4257
486,4183
487,4305
488,4286
489,4202
490,4288
491,4237
492,4254
493,4261
494,4312
495,4304
496,4218
497,4346
498,4300
499,4345
500,4397
501,4264
502,4259
503,4298
504,4247
505,4268
506,4332
507,4200
508,4215
509,4181
510,4255
511,4319
512,4262
513,4230
514,4135
515,4254
516,4283
517,4312
518,4231
519,4262
