Distance,Ripley's L (t = 0),Ripley's L (t = 20)
0,0,0
1,-1.18E-05,0.000122447
2,-1.68E-07,8.71E-05
3,-6.33E-07,-5.75E-07
4,1.26E-06,-5.69E-05
5,-5.08E-06,-0.000113116
6,-7.09E-06,-0.000199282
7,-1.27E-05,-0.000270511
8,-6.93E-06,-0.000335798
9,-7.08E-06,-0.000378819
10,-1.16E-05,-0.000448644
11,-1.12E-05,-0.000511695
12,-2.14E-05,-0.00058431
13,-1.89E-05,-0.000645169
14,-2.45E-05,-0.000698059
15,-2.72E-05,-0.000767523
16,-2.67E-05,-0.000810599
17,-2.85E-05,-0.000862338
18,-3.56E-05,-0.000907891
19,-4.01E-05,-0.0009503
20,-4.29E-05,-0.000979632
21,-4.65E-05,-0.001029029
22,-4.84E-05,-0.001056618
23,-6.26E-05,-0.001099985
24,-6.66E-05,-0.001134837
25,-6.77E-05,-0.00117673
26,-7.60E-05,-0.001183912
27,-7.61E-05,-0.001212232
28,-8.54E-05,-0.001237328
29,-9.37E-05,-0.001256596
30,-9.60E-05,-0.001268592
31,-0.000110414,-0.001272184
32,-0.000111796,-0.001288571
33,-0.000121272,-0.001309564
34,-0.000123694,-0.001292832
35,-0.000136327,-0.001309234
36,-0.000140198,-0.001295657
37,-0.000150079,-0.001308039
38,-0.000155776,-0.001304185
39,-0.000161357,-0.001309252
40,-0.000172499,-0.001287586
41,-0.000185846,-0.001309639
42,-0.000187796,-0.001307928
43,-0.000203564,-0.001288561
44,-0.000207346,-0.001277697
45,-0.000221637,-0.001264542
46,-0.000226856,-0.00126956
47,-0.000241682,-0.001259394
48,-0.000248767,-0.001236211
49,-0.000257275,-0.001228994
50,-0.000263039,-0.001237515
51,-0.00028145,-0.001209666
52,-0.000289268,-0.001209043
53,-0.000298762,-0.001195117
54,-0.000308978,-0.001193357
55,-0.000320996,-0.001179967
56,-0.000336562,-0.001171987
57,-0.000352013,-0.001166451
58,-0.000360475,-0.001156073
59,-0.000376469,-0.001146563
60,-0.000385891,-0.001145216
61,-0.000401944,-0.001135269
62,-0.00040858,-0.001134409
63,-0.000423439,-0.001129727
64,-0.000440641,-0.001121578
65,-0.000446575,-0.001140298
66,-0.000466283,-0.001137834
67,-0.00047702,-0.001127329
