HOMOZYGOTE_EMBRYO_NONVIABLE,RECESSIVE_FEMALE_STERILE,Y_SHREDDER,INDS_PER_KM_SQUARE,SIM_SIDE_LENGTH,COMPETITION_DISTANCE,AVG_DISPERSAL,PER_TIME_STEP_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLYER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_CONVERSION_RATE,RESISTANCE_RATE,R1_OCCURRENCE_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,GP rating (1-(min(time_suppression ; 500)/500),GP rating alternative (GP_rating - min_pop/equilib_pop_size),GP rating SE,GP alt SE
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.75,0.75,0,0,4241.62,0,0,4141.4,4223.8,0,0,0,-0.976388325,0,0.003600561
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.76,0.75,0,0,4259.37,0,0,4182.8,4256.8,0,0,0,-0.98204216,0,0.003085725
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.77,0.75,0,0,4231.83,0,0,4155.1,4260.8,0,0,0,-0.981886565,0,0.003066491
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.78,0.75,0,0,4250.07,0,0,4147.8,4266.5,0,0,0,-0.975995629,0,0.003198282
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.79,0.75,0,0,4266.79,0,0,4156.8,4231.1,0,0,0,-0.974253131,0,0.002364674
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.8,0.75,0,0,4261.33,0,0,4152.1,4281.6,0,0,0,-0.974398877,0,0.003367572
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.81,0.75,0,0,4239.69,0,0,4159.4,4258.5,0,0,0,-0.981122792,0,0.003596369
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.82,0.75,0,0,4246.8,0,0,4136.3,4251.8,0,0,0,-0.974029595,0,0.002357408
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.83,0.75,0,0,4249.1,0,0,4142.5,4251.6,0,0,0,-0.974923636,0,0.001893913
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.84,0.75,0,0,4256.11,0,0,4127.4,4266.7,0,0,0,-0.969811024,0,0.003765366
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.85,0.75,0,0,4244,0,0,4117,4220.6,0,0,0,-0.970090395,0,0.001599769
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.86,0.75,0,0,4264.44,0,0,4113.8,4229.6,0,0,0,-0.96470274,0,0.002353598
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.87,0.75,0,0,4256.07,0,0,4100.3,4257.8,0,0,0,-0.963430019,0,0.003249806
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.88,0.75,0,0,4256.73,0.001025256,0,4103,4248.7,0,0,0,-0.96391622,0,0.001868676
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.89,0.75,0,0,4252.86,0.61387109,0,3776,4059.2,0,0,0,-0.887865749,0,0.028762503
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.9,0.75,0,0,4246.44,0.8790496,0,2575.7,3073.6,0,0,0,-0.606579816,0,0.010938654
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.91,0.75,0,0,4258.23,0.8889238,0,2387.4,3197.5,0,0,0,-0.560566329,0,0.017508055
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.92,0.75,0,0,4240.26,0.8976204,0,2589.4,3222.5,0,0,0,-0.610578892,0,0.017036035
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.93,0.75,0,0,4240.9,0.8965363,0,2710.4,3245.4,0,0,0,-0.639036878,0,0.01871807
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.94,0.75,0,0,4248.26,0.9033691,0,2910,3468.2,0,0,0,-0.684980113,0,0.014588987
