HOMOZYGOTE_EMBRYO_NONVIABLE,RECESSIVE_FEMALE_STERILE,Y_SHREDDER,INDS_PER_KM_SQUARE,SIM_SIDE_LENGTH,COMPETITION_DISTANCE,AVG_DISPERSAL,PER_TIME_STEP_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLYER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_CONVERSION_RATE,RESISTANCE_RATE,R1_OCCURRENCE_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,GP rating (1-(min(time_suppression ; 500)/500),GP rating alternative (GP_rating - min_pop/equilib_pop_size),GP rating SE,GP alt SE
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.75,0.75,0.01,0.001,4245.015,0,0.000253401,4163.65,4247.45,0,0,0,-0.980867635,0,0.0022206
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.76,0.75,0.01,0.001,4247.13,0,0.000321044,4152.95,4251.8,0,0,0,-0.977871145,0,0.001975952
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.77,0.75,0.01,0.001,4260.095,0,0.000164445,4145.95,4244.65,0,0,0,-0.97323281,0,0.0023861
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.78,0.75,0.01,0.001,4243.85,0,0.000105713,4150.45,4260.95,0,0,0,-0.978012873,0,0.001767299
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.79,0.75,0.01,0.001,4256.105,0,0.000158144,4132.9,4254.3,0,0,0,-0.971068005,0,0.002134389
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.8,0.75,0.01,0.001,4243.31,0,0.000282028,4141.45,4264.3,0,0,0,-0.9760363,0,0.002057156
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.81,0.75,0.01,0.001,4251.375,0,0.000221701,4144.7,4272.5,0,0,0,-0.974946227,0,0.00224656
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.82,0.75,0.01,0.001,4244.37,0,0.000180949,4141.4,4251.95,0,0,0,-0.97578311,0,0.002148052
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.83,0.75,0.01,0.001,4259.84,0,0.000117277,4129.75,4259,0,0,0,-0.969477336,0,0.001605973
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.84,0.75,0.01,0.001,4257.465,0,0.000395356,4129.25,4240,0,0,0,-0.969930893,0,0.002285743
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.85,0.75,0.01,0.001,4249.87,0,0.000153109,4117.55,4243.7,0,0,0,-0.968893567,0,0.001758503
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.86,0.75,0.01,0.001,4251.185,0,0.001493419,4120.05,4238.6,0,0,0,-0.969183442,0,0.001768771
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.87,0.75,0.01,0.001,4259.025,0,0.001420568,4108.7,4258.75,0,0,0,-0.964739594,0,0.001771323
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.88,0.75,0.01,0.001,4246.21,5.87E-05,0.001365814,4106.1,4247.4,0,0,0,-0.967056816,0,0.002041896
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.89,0.75,0.01,0.001,4262.36,0.106543136,0.032591341,4071.1,4227.35,0,0,0,-0.95514073,0,0.001520436
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.9,0.75,0.01,0.001,4248.155,0.193792411,0.26934801,4070.5,4363.8,0,0,0,-0.958216001,0,0.00209112
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.91,0.75,0.01,0.001,4249.425,0.2246072,0.48637145,4092.8,4446.4,0,0,0,-0.963170847,0,0.001587648
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.92,0.75,0.01,0.001,4254.08,0.237675714,0.577974335,4094.95,4480,0,0,0,-0.962628378,0,0.002234413
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.93,0.75,0.01,0.001,4247.19,0.277482885,0.61903286,4074.3,4428.55,0,0,0,-0.959302604,0,0.006137825
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.94,0.75,0.01,0.001,4247.895,0.367837384,0.551505945,4014.1,4405,0,0,0,-0.944986546,0,0.009686392
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.95,0.75,0.01,0.001,4262.37,0.430371805,0.500894745,3903.95,4268.85,0,0,0,-0.915994255,0,0.009914056
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.96,0.75,0.01,0.001,4252.07,0.179037689,0.784416225,3919.9,4271.55,0,0,0,-0.92193156,0,0.009407094
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.97,0.75,0.01,0.001,4248.075,0.45118425,0.49864373,3938.15,4377.6,0,0,0,-0.927156745,0,0.01070541
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.98,0.75,0.01,0.001,4243.94,0.447677642,0.50340607,4055.45,4418.5,0,0,0,-0.955634632,0,0.005727388
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.99,0.75,0.01,0.001,4247.275,0.46530458,0.49007248,4135.35,4497.25,0,0,0,-0.973656934,0,0.002610911
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,1,0.75,0.01,0.001,4256.91,0.509605725,0.446159193,4150.1,4573,0,0,0,-0.974928087,0,0.002231979
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.75,0.76,0.01,0.001,4252.18,0,0.000219718,4158.3,4244.75,0,0,0,-0.977947165,0,0.001991223
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.76,0.76,0.01,0.001,4254.545,0,0.000130276,4155.1,4246.3,0,0,0,-0.976631403,0,0.001414358
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.77,0.76,0.01,0.001,4245.545,0,0.00013353,4149.8,4270.15,0,0,0,-0.977510752,0,0.002597785
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.78,0.76,0.01,0.001,4247.555,0,0.00034195,4140.5,4231.55,0,0,0,-0.9748387,0,0.002257216
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.79,0.76,0.01,0.001,4262.835,0,6.51E-05,4156.8,4250.1,0,0,0,-0.975137779,0,0.00136803
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.8,0.76,0.01,0.001,4242.195,0,0.000435,4143.3,4260.2,0,0,0,-0.976704599,0,0.001430322
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.81,0.76,0.01,0.001,4242.715,0,0.00044356,4138.7,4233.95,0,0,0,-0.975506367,0,0.001613737
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.82,0.76,0.01,0.001,4246.765,0,0.000576413,4137.5,4243.6,0,0,0,-0.97428639,0,0.001643199
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.83,0.76,0.01,0.001,4252.36,0,0.000200052,4125.85,4251.4,0,0,0,-0.970303734,0,0.002456281
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.84,0.76,0.01,0.001,4252.775,0,0.000129884,4140.85,4245.4,0,0,0,-0.973720135,0,0.001888959
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.85,0.76,0.01,0.001,4253.995,0,0.000909109,4122.95,4254.3,0,0,0,-0.969239148,0,0.002259947
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.86,0.76,0.01,0.001,4247.89,0,0.000334583,4120.8,4254.45,0,0,0,-0.970128,0,0.002077751
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.87,0.76,0.01,0.001,4243.16,0,0.000854384,4124.25,4248.75,0,0,0,-0.972016957,0,0.001858368
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.88,0.76,0.01,0.001,4244.9,0.002551538,0.003369022,4101.05,4228.1,0,0,0,-0.966164482,0,0.002215491
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.89,0.76,0.01,0.001,4257.91,0.127116225,0.061777047,4062.9,4231.45,0,0,0,-0.954241846,0,0.001848372
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.9,0.76,0.01,0.001,4239.84,0.19634645,0.30083546,4081.3,4351.35,0,0,0,-0.96263797,0,0.001718537
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.91,0.76,0.01,0.001,4249.32,0.1934845,0.5673312,4092,4436.15,0,0,0,-0.963039,0,0.001928947
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.92,0.76,0.01,0.001,4260.345,0.135358771,0.731518755,4084,4380.9,0,0,0,-0.958639079,0,0.002688932
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.93,0.76,0.01,0.001,4250.11,0.35996505,0.532745825,4021.15,4444.45,0,0,0,-0.946237149,0,0.008998863
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.94,0.76,0.01,0.001,4250.89,0.334437408,0.59724779,3842,4239.95,0,0,0,-0.903867812,0,0.012672931
FALSE,TRUE,FALSE,1000,2,25,250,0.9,4,0.1,2,0.1,0.95,0.76,0.01,0.001,4248.485,0.192508785,0.76816437,3910,4292.15,0,0,0,-0.920428351,0,0.012276704
