HOMOZYGOTE_EMBRYO_NONVIABLE,RECESSIVE_FEMALE_STERILE,Y_SHREDDER,INDS_PER_KM_SQUARE,SIM_SIDE_LENGTH,COMPETITION_DISTANCE,AVG_DISPERSAL,PER_TIME_STEP_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLYER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_CONVERSION_RATE,RESISTANCE_RATE,R1_OCCURRENCE_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,GP rating (1-(min(time_suppression ; 500)/500),GP rating alternative (GP_rating - min_pop/equilib_pop_size),GP rating SE,GP alt SE
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.85,0.85,0,0,4078.06,0.2489939,0,3869.5,4022.35,0,0,0,-0.948891588,0,0.001748514
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.856,0.85,0,0,4087.77,0.2749836,0,3886.3,4040.8,0,0,0,-0.950734781,0,0.001642173
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.862,0.85,0,0,4087.895,0.2996125,0,3897.05,4047,0,0,0,-0.953336155,0,0.001288421
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.868,0.85,0,0,4080.85,0.3223396,0,3902.9,4060.15,0,0,0,-0.956436251,0,0.002094625
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.874,0.85,0,0,4084.565,0.33739035,0,3897.05,4049.85,0,0,0,-0.954097181,0,0.001720199
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.88,0.85,0,0,4084.98,0.34795175,0,3892.15,4054.8,0,0,0,-0.952818518,0,0.001857743
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.886,0.85,0,0,4077.295,0.36373245,0,3864.95,4043.35,0,0,0,-0.947931057,0,0.002765467
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.892,0.85,0,0,4084.495,0.3728478,0,3839.95,4045.6,0,0,0,-0.940152277,0,0.003477805
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.898,0.85,0,0,4092.415,0.3833573,0,3826.45,4067.5,0,0,0,-0.935045604,0,0.002566293
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.904,0.85,0,0,4088.405,0.38822355,0,3794.7,4044.7,0,0,0,-0.928215368,0,0.003245264
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.91,0.85,0,0,4075.23,0.3964134,0,3788.2,4039,0,0,0,-0.929609054,0,0.004510718
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.916,0.85,0,0,4083.165,0.40447505,0,3750.65,4029.3,0,0,0,-0.918570432,0,0.002861404
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.922,0.85,0,0,4088.395,0.41272015,0,3738,4007.75,0,0,0,-0.914318362,0,0.002970644
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.928,0.85,0,0,4074.585,0.41659895,0,3709.1,4001.9,0,0,0,-0.910316165,0,0.003356996
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.934,0.85,0,0,4088.74,0.42151755,0,3698.45,4039.9,0,0,0,-0.904543799,0,0.00263583
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.94,0.85,0,0,4090.555,0.427438,0,3708.1,4013.7,0,0,0,-0.906500739,0,0.003686472
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.946,0.85,0,0,4075.43,0.4307185,0,3640.75,3987.45,0,0,0,-0.893360095,0,0.005221011
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.952,0.85,0,0,4082.315,0.4369555,0,3666.85,3973.7,0,0,0,-0.898287051,0,0.003155335
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.958,0.85,0,0,4077.45,0.438627,0,3678.2,3993.9,0,0,0,-0.902091916,0,0.00315075
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.964,0.85,0,0,4087.83,0.44214035,0,3661.3,4004.5,0,0,0,-0.895666299,0,0.004392421
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.97,0.85,0,0,4088.4,0.44652875,0,3692.75,3982.85,0,0,0,-0.903240269,0,0.003110944
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.976,0.85,0,0,4078.465,0.4501118,0,3712.8,4027.8,0,0,0,-0.910378962,0,0.003718934
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.982,0.85,0,0,4082.23,0.45236025,0,3697.5,4039.4,0,0,0,-0.905784612,0,0.004173686
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.988,0.85,0,0,4080.175,0.4557269,0,3725.7,4033.9,0,0,0,-0.913138843,0,0.005014543
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.994,0.85,0,0,4083.175,0.4579928,0,3760.05,4050.4,0,0,0,-0.92090994,0,0.004072603
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,1,0.85,0,0,4080.945,0.4590885,0,3797.05,4128.65,0,0,0,-0.930470731,0,0.003454894
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.85,0.856,0,0,4080.405,0.26545675,0,3870.45,4026.55,0,0,0,-0.948588136,0,0.001834318
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.856,0.856,0,0,4090.33,0.2896295,0,3885.75,4033.65,0,0,0,-0.950011032,0,0.001268653
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.862,0.856,0,0,4089.255,0.30893775,0,3878.3,4067.65,0,0,0,-0.948434774,0,0.001481004
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.868,0.856,0,0,4089.655,0.32418165,0,3895.8,4062.8,0,0,0,-0.952625043,0,0.001649264
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.874,0.856,0,0,4091.985,0.347529,0,3882.55,4015.9,0,0,0,-0.948831332,0,0.002453728
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.88,0.856,0,0,4075.32,0.35840815,0,3852.15,4035.1,0,0,0,-0.945249843,0,0.001429766
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.886,0.856,0,0,4081.175,0.3639422,0,3806.35,4059.65,0,0,0,-0.932734847,0,0.003981453
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.892,0.856,0,0,4078.37,0.3801236,0,3805,3993.05,0,0,0,-0.932989697,0,0.002601042
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.898,0.856,0,0,4079.625,0.3866407,0,3764.5,3990.35,0,0,0,-0.922739806,0,0.002386142
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.904,0.856,0,0,4083.355,0.39550155,0,3719.6,3997.4,0,0,0,-0.910967872,0,0.004604288
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.91,0.856,0,0,4089.37,0.4005953,0,3705.25,3977.6,0,0,0,-0.90608852,0,0.002804533
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.916,0.856,0,0,4084.335,0.4115956,0,3675.9,3984.9,0,0,0,-0.900099577,0,0.005323047
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.922,0.856,0,0,4082.51,0.41787015,0,3639.2,3917.7,0,0,0,-0.89145391,0,0.003476079
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.928,0.856,0,0,4088.06,0.4210743,0,3621.4,3897.45,0,0,0,-0.885870478,0,0.004096164
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.934,0.856,0,0,4084.12,0.42587865,0,3590.55,3907.9,0,0,0,-0.879208767,0,0.005258506
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.94,0.856,0,0,4084.86,0.4284817,0,3582.6,3922.1,0,0,0,-0.877071774,0,0.0045088
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.946,0.856,0,0,4083.005,0.43555015,0,3535,3897.55,0,0,0,-0.86580649,0,0.003484739
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.952,0.856,0,0,4083.105,0.4398475,0,3543.15,3861.8,0,0,0,-0.867801729,0,0.004725955
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.958,0.856,0,0,4085.415,0.4411735,0,3553.2,3898.3,0,0,0,-0.869795313,0,0.004661967
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.964,0.856,0,0,4079.235,0.44619135,0,3496.85,3893.55,0,0,0,-0.857268963,0,0.00374648
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.97,0.856,0,0,4094.655,0.44783965,0,3540.35,3935.3,0,0,0,-0.864630672,0,0.005006175
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.976,0.856,0,0,4077.855,0.4499473,0,3558.3,3949.95,0,0,0,-0.872617176,0,0.004742551
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.982,0.856,0,0,4073.14,0.45136025,0,3603.4,3952.55,0,0,0,-0.884713642,0,0.003655705
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.988,0.856,0,0,4076.375,0.45477355,0,3631.65,3994.2,0,0,0,-0.890927289,0,0.005202147
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.994,0.856,0,0,4091.095,0.4584787,0,3633,4015.8,0,0,0,-0.888090202,0,0.005213023
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,1,0.856,0,0,4085.29,0.46238985,0,3638.8,3966.35,0,0,0,-0.890716369,0,0.003962516
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.85,0.862,0,0,4085.12,0.26755645,0,3867.65,4008.45,0,0,0,-0.946807101,0,0.001701831
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.856,0.862,0,0,4084.56,0.29740455,0,3879.35,4054.5,0,0,0,-0.949801835,0,0.001769885
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.862,0.862,0,0,4083.45,0.31792035,0,3882.15,4037.35,0,0,0,-0.950731597,0,0.001730716
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.868,0.862,0,0,4083.94,0.33053055,0,3870.4,4030,0,0,0,-0.947723448,0,0.002260806
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.874,0.862,0,0,4090.815,0.34526485,0,3857.4,4046.65,0,0,0,-0.942966638,0,0.001777737
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.88,0.862,0,0,4088.18,0.3599282,0,3812.4,4023.8,0,0,0,-0.932554439,0,0.002737172
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.886,0.862,0,0,4079.585,0.36993195,0,3788.05,4035.7,0,0,0,-0.928563864,0,0.002216494
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.892,0.862,0,0,4090.26,0.37881045,0,3762.45,4001.2,0,0,0,-0.919901619,0,0.00344896
