HOMOZYGOTE_EMBRYO_NONVIABLE,RECESSIVE_FEMALE_STERILE,Y_SHREDDER,INDS_PER_KM_SQUARE,SIM_SIDE_LENGTH,COMPETITION_DISTANCE,AVG_DISPERSAL,PER_TIME_STEP_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLYER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_CONVERSION_RATE,RESISTANCE_RATE,R1_OCCURRENCE_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,GP rating (1-(min(time_suppression ; 500)/500),GP rating alternative (GP_rating - min_pop/equilib_pop_size),GP rating SE,GP alt SE
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.9,0.9,0.01,0.001,4090.345,0,0.8476883,3778.6,4083.6,0,0,0,-0.923875404,0,0.006585091
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.904,0.9,0.01,0.001,4091.07,5.51E-05,0.85636775,3708.15,4083.7,0,0,0,-0.906440716,0,0.01196381
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.908,0.9,0.01,0.001,4089.91,0,0.8777048,3711.55,4095.2,0,0,0,-0.907536427,0,0.011500812
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.912,0.9,0.01,0.001,4088.645,7.30E-05,0.89567775,3731.85,4082.7,0,0,0,-0.91270089,0,0.007979973
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.916,0.9,0.01,0.001,4084.685,0,0.9014375,3516.95,4075.55,0,0,0,-0.860956287,0,0.012740714
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.92,0.9,0.01,0.001,4079.13,0,0.9030679,3684.15,4084.25,0,0,0,-0.903178028,0,0.012968398
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.924,0.9,0.01,0.001,4087.935,0,0.91294855,3657.1,4090.35,0,0,0,-0.894557807,0,0.011794523
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.928,0.9,0.01,0.001,4081.19,0,0.9271024,3743.05,4089.6,0,0,0,-0.917042432,0,0.012909026
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.932,0.9,0.01,0.001,4084.88,0,0.92689065,3520.55,4087.3,0,0,0,-0.861939976,0,0.017799172
TRUE,FALSE,FALSE,1000,2,25,250,0.8,4,0.1,2,0.1,0.936,0.9,0.01,0.001,4085.95,0,0.9391555,3503.55,4085.65,0,0,0,-0.85749805,0,0.018216289
